city,state_id,state,county_name,lat,lng,population,density
Clyde,CA,California,Contra Costa,38.0253,-122.0278,792,2133
Oxford,IA,Iowa,Johnson,41.7228,-91.7911,792,330
Emerson,NE,Nebraska,Dixon,42.2782,-96.7265,792,645
Arkport,NY,New York,Steuben,42.3926,-77.6955,791,439
Hoonah,AK,Alaska,Hoonah-Angoon,58.1118,-135.4246,791,52
New Salem,PA,Pennsylvania,York,39.9037,-76.7912,791,646
Grant City,MO,Missouri,Worth,40.4858,-94.4135,791,229
Pleasant Plains,IL,Illinois,Sangamon,39.8747,-89.9183,791,228
Blanchardville,WI,Wisconsin,Lafayette,42.8095,-89.8606,791,634
Los Olivos,CA,California,Santa Barbara,34.6647,-120.118,791,124
Benkelman,NE,Nebraska,Dundy,40.0517,-101.5354,790,380
