city,state_id,state,county_name,lat,lng,population,density
Valley Springs,SD,South Dakota,Minnehaha,43.5825,-96.4648,730,301
Wayne,OK,Oklahoma,McClain,34.9171,-97.3167,730,816
Plankinton,SD,South Dakota,Aurora,43.7155,-98.4836,730,369
Conway,NC,North Carolina,Northampton,36.4371,-77.2288,729,154
South Range,MI,Michigan,Houghton,47.0703,-88.6441,729,772
Tampico,IL,Illinois,Whiteside,41.6308,-89.785,729,714
Altus,AR,Arkansas,Franklin,35.4465,-93.7643,729,150
Philadelphia,TN,Tennessee,Loudon,35.679,-84.4,729,180
Nevada,OH,Ohio,Wyandot,40.8188,-83.1312,729,274
Conneautville,PA,Pennsylvania,Crawford,41.7572,-80.3685,729,273
Rougemont,NC,North Carolina,Durham,36.2209,-78.9206,729,44
Philo,OH,Ohio,Muskingum,39.8613,-81.9088,728,548
Napi Headquarters,NM,New Mexico,San Juan,36.6538,-108.2186,728,77
Gilbertville,IA,Iowa,Black Hawk,42.4182,-92.214,728,794
Sandersville,MS,Mississippi,Jones,31.7879,-89.0362,728,56
Landfall,MN,Minnesota,Washington,44.9508,-92.9766,728,4283
Confluence,PA,Pennsylvania,Somerset,39.8094,-79.3552,727,175
Burke,TX,Texas,Angelina,31.2345,-94.7665,727,99
Bantam,CT,Connecticut,Litchfield,41.7247,-73.2422,727,277
Bethel Springs,TN,Tennessee,McNairy,35.2341,-88.6131,727,125
Como,TX,Texas,Hopkins,33.0601,-95.4757,727,254
Brownstown,IL,Illinois,Fayette,38.9942,-88.9554,727,369
Clarks Hill,IN,Indiana,Tippecanoe,40.2472,-86.7245,727,1030
Highmore,SD,South Dakota,Hyde,44.5214,-99.4393,726,148
Elkton,SD,South Dakota,Brookings,44.2351,-96.4796,726,187
Plum Grove,TX,Texas,Liberty,30.2007,-95.0958,726,74
Orleans,VT,Vermont,Orleans,44.8092,-72.2013,725,308
White,GA,Georgia,Bartow,34.2825,-84.7472,725,290
Lawtey,FL,Florida,Bradford,30.0484,-82.0725,725,185
Bethlehem,GA,Georgia,Barrow,33.9372,-83.7097,725,112
Wyocena,WI,Wisconsin,Columbia,43.4931,-89.3099,725,195
Tekonsha,MI,Michigan,Calhoun,42.0967,-84.9897,725,303
Rancho Chico,TX,Texas,San Patricio,28.0243,-97.4966,725,543
Lanesboro,MN,Minnesota,Fillmore,43.7181,-91.9719,725,214
Edenburg,PA,Pennsylvania,Berks,40.5658,-75.9593,725,485
Gould,AR,Arkansas,Lincoln,33.9872,-91.564,724,180
Gordon,PA,Pennsylvania,Schuylkill,40.75,-76.3401,724,471
Wilson,KS,Kansas,Ellsworth,38.8255,-98.4749,724,467
Kreamer,PA,Pennsylvania,Snyder,40.8003,-76.9709,724,225
Greenview,IL,Illinois,Menard,40.085,-89.7407,724,328
New London,NC,North Carolina,Stanly,35.4348,-80.2198,724,141
Clay Center,NE,Nebraska,Clay,40.5256,-98.055,724,382
Mott,ND,North Dakota,Hettinger,46.3744,-102.3189,724,304
Oakman,AL,Alabama,Walker,33.7141,-87.389,724,90
Lockesburg,AR,Arkansas,Sevier,33.9716,-94.1761,724,80
Garnavillo,IA,Iowa,Clayton,42.8662,-91.2364,724,273
Bella Villa,MO,Missouri,St. Louis,38.5436,-90.2854,724,2166
Low Mountain,AZ,Arizona,Navajo,35.9481,-110.0981,724,7
Whiting,IA,Iowa,Monona,42.1272,-96.1508,723,278
Schaller,IA,Iowa,Sac,42.4965,-95.2963,723,221
Gallipolis Ferry,WV,West Virginia,Mason,38.7745,-82.204,723,122
Merrill,MI,Michigan,Saginaw,43.4091,-84.3345,723,401
Gainesville,MO,Missouri,Ozark,36.6063,-92.4245,723,97
Fairfield,MT,Montana,Teton,47.6152,-111.9814,723,915
Salem,KY,Kentucky,Livingston,37.2653,-88.241,723,327
Delta,PA,Pennsylvania,York,39.7267,-76.3271,723,1065
Wheatland,IA,Iowa,Clinton,41.8329,-90.8379,723,461
